Sample ID,Generation,Backup Count,Reset Count
500,10,2,0
501,11,0,0
502,11,1,0
503,10,1,0
504,11,0,0
505,11,0,0
506,10,2,0
507,10,2,0
508,11,0,0
509,11,2,0
510,11,0,0
511,11,1,0
512,11,0,0
513,11,1,0
514,9,3,0
515,11,0,0
516,11,0,0
517,11,0,0
518,11,1,0
519,11,0,0
520,11,0,0
521,11,1,0
522,11,0,0
523,11,2,0
524,11,0,0
525,11,1,0
526,11,0,0
527,11,0,0
528,11,0,0
529,11,2,0
530,11,0,0
531,11,1,0
532,11,1,0
533,11,1,0
534,10,1,0
535,11,1,0
536,11,1,0
537,11,0,0
538,10,1,0
539,10,1,0
540,11,0,0
541,11,0,0
542,11,0,0
543,11,2,0
544,10,1,0
545,11,0,0
546,11,1,0
547,11,0,0
548,11,0,0
549,11,0,0
550,11,0,0
551,11,0,0
552,11,2,0
553,11,1,0
554,11,0,0
555,11,0,0
556,11,0,0
557,11,1,0
558,11,0,0
559,11,0,0
560,11,0,0
561,11,1,0
562,11,2,0
563,11,1,0
564,10,1,0
565,11,1,0
566,11,1,0
567,11,1,0
568,10,2,0
569,11,0,0
570,11,3,0
571,11,0,0
572,11,1,0
573,11,0,0
574,11,0,0
575,11,2,0
576,10,3,0
577,11,0,0
578,11,1,0
579,11,1,0
580,10,2,0
581,11,0,0
582,11,0,0
583,11,1,0
584,11,0,0
585,11,1,0
586,11,1,0
587,11,0,0
588,11,0,0
589,11,2,0
590,11,1,0
591,11,0,0
592,10,1,0
593,11,0,0
594,11,0,0
595,11,0,0
596,11,1,0
597,11,0,0
598,11,1,0
599,11,1,0
600,11,0,0
601,11,0,0
602,11,1,0
603,11,0,0
604,11,0,0
605,11,0,0
606,11,0,0
607,11,0,0
608,11,1,0
609,11,1,0
610,11,0,0
611,11,1,0
612,11,1,0
613,11,0,0
614,11,0,0
615,11,1,0
616,11,0,0
617,11,0,0
618,11,0,0
619,11,1,0
620,11,0,0
621,11,0,0
622,10,2,0
623,11,0,0
624,11,0,0
625,11,1,0
626,11,0,0
627,11,0,0
628,11,0,0
629,11,1,0
630,11,0,0
631,11,0,0
632,11,0,0
633,11,0,0
634,11,1,0
635,11,1,0
636,10,1,0
637,11,1,0
638,11,1,0
639,11,0,0
640,11,0,0
641,11,3,0
642,11,0,0
643,11,0,0
644,10,3,0
645,11,0,0
646,11,1,0
647,11,2,0
648,11,0,0
649,11,0,0
650,11,1,0
651,11,0,0
652,11,3,0
653,11,0,0
654,11,0,0
655,11,0,0
656,11,0,0
657,11,1,0
658,11,0,0
659,11,0,0
660,11,0,0
661,11,1,0
662,11,0,0
663,11,2,0
664,11,3,0
665,11,0,0
666,11,1,0
667,10,4,0
668,11,0,0
669,11,3,0
670,11,1,0
671,11,1,0
672,8,2,0
673,11,0,0
674,11,0,0
675,11,2,0
676,11,0,0
677,11,0,0
678,11,0,0
679,11,0,0
680,11,0,0
681,11,0,0
682,11,0,0
683,11,0,0
684,11,1,0
685,11,0,0
686,11,0,0
687,11,0,0
688,11,0,0
689,11,1,0
690,11,1,0
691,11,0,0
692,11,1,0
693,11,0,0
694,11,0,0
695,11,2,0
696,10,1,0
697,11,1,0
698,11,1,0
699,11,0,0
700,10,6,0
701,11,15,0
702,10,11,0
703,11,19,0
704,9,13,2
705,11,23,0
706,10,15,1
707,11,0,0
708,11,19,1
709,11,3,0
710,11,7,0
711,9,10,0
712,11,5,0
713,6,14,0
714,11,6,0
715,9,7,0
716,11,2,0
717,10,14,0
718,11,20,0
719,11,5,0
720,10,16,0
721,11,8,0
722,11,9,0
723,11,8,0
724,11,15,0
725,11,7,0
726,10,12,0
727,9,12,0
728,10,15,0
729,11,20,0
730,11,17,0
731,10,19,0
732,11,3,0
733,5,3,2
734,10,13,0
735,11,6,0
736,11,11,1
737,10,19,0
738,10,9,0
739,10,2,0
740,11,12,0
741,11,10,0
742,11,9,0
743,11,10,0
744,4,24,3
745,11,21,0
746,8,31,0
747,11,6,0
748,10,11,1
749,11,7,0
750,11,13,0
751,10,2,0
752,11,13,0
753,10,11,0
754,10,11,0
755,11,8,0
756,11,5,0
757,9,12,0
758,9,11,0
759,6,18,1
760,11,14,0
761,11,7,0
762,11,4,0
763,11,5,0
764,10,7,0
765,11,8,0
766,5,14,1
767,11,11,0
768,6,12,0
769,11,20,0
770,10,6,0
771,10,13,0
772,11,13,0
773,11,9,0
774,10,8,0
775,4,18,2
776,11,11,0
777,11,0,0
778,11,11,0
779,6,22,1
780,7,9,2
781,10,12,0
782,9,16,0
783,11,21,0
784,2,11,2
785,11,5,0
786,10,8,0
787,10,10,0
788,11,6,0
789,11,11,1
790,11,6,0
791,11,23,0
792,11,13,0
793,11,9,1
794,10,12,0
795,11,9,0
796,9,11,2
797,11,8,0
798,11,7,0
799,11,7,0
800,11,1,0
801,10,3,0
802,10,1,0
803,11,2,0
804,11,3,0
805,11,1,0
806,11,0,0
807,11,0,0
808,11,0,0
809,10,1,0
810,11,0,0
811,11,0,0
812,10,1,0
813,11,1,0
814,11,1,0
815,11,0,0
816,11,0,0
817,11,0,0
818,11,2,0
819,11,1,0
820,11,0,0
821,11,0,0
822,11,4,0
823,11,3,0
824,11,1,0
825,11,1,0
826,11,1,0
827,11,0,0
828,11,1,0
829,11,0,0
830,11,1,0
831,10,2,0
832,11,1,0
833,10,2,0
834,10,1,0
835,10,2,0
836,10,1,0
837,11,0,0
838,11,0,0
839,10,1,0
840,11,1,0
841,10,1,0
842,11,0,0
843,11,1,0
844,10,2,0
845,10,2,0
846,11,0,0
847,11,2,0
848,11,1,0
849,11,5,0
850,10,1,0
851,11,0,0
852,11,0,0
853,11,2,0
854,11,1,0
855,11,0,0
856,11,1,0
857,11,2,0
858,11,1,0
859,11,0,0
860,11,0,0
861,11,0,0
862,11,1,0
863,11,1,0
864,11,1,0
865,11,1,0
866,11,4,0
867,10,1,0
868,11,0,0
869,11,0,0
870,11,1,0
871,11,0,0
872,11,0,0
873,11,0,0
874,11,2,0
875,11,1,0
876,11,0,0
877,11,1,0
878,11,0,0
879,11,1,0
880,11,0,0
881,11,1,0
882,10,1,0
883,11,0,0
884,11,1,0
885,11,0,0
886,11,0,0
887,11,0,0
888,10,1,0
889,9,2,0
890,11,0,0
891,11,0,0
892,11,0,0
893,11,2,0
894,10,3,0
