Sample ID,Pick Date,Experimental Generation,Backup Generation,Backup Date,Notes
500,12-04-2018,2,0,11-30-2018,ancestral stock
503,12-04-2018,2,0,11-30-2018,ancestral stock
506,12-04-2018,2,0,11-30-2018,ancestral stock
514,12-04-2018,2,0,11-04-2018,ancestral stock
534,12-04-2018,2,0,11-30-2018,ancestral stock
592,12-04-2018,2,0,11-30-2018,ancestral stock
704,12-04-2018,2,0,11-30-2018,ancestral stock
720,12-04-2018,2,0,11-30-2018,ancestral stock
753,12-04-2018,2,0,11-30-2018,ancestral stock
754,12-04-2018,2,0,11-30-2018,ancestral stock
757,12-04-2018,2,0,11-30-2018,ancestral stock
768,12-04-2018,2,0,11-30-2018,ancestral stock
794,12-04-2018,2,0,11-30-2018,ancestral stock
836,12-04-2018,2,0,11-30-2018,ancestral stock
980,12-04-2018,2,0,11-30-2018,ancestral stock
622,12-08-2018,3,1,11-30-2018,
748,12-08-2018,3,1,11-30-2018,
801,12-08-2018,3,1,11-30-2018,
950,12-08-2018,3,1,11-30-2018,
538,12-12-2018,4,2,12-04-2018,
700,12-12-2018,4,2,12-04-2018,
711,12-12-2018,4,2,12-04-2018,
726,12-12-2018,4,2,12-04-2018,
733,12-12-2018,4,2,12-04-2018,
738,12-12-2018,4,2,12-04-2018,
751,12-12-2018,4,2,12-04-2018,
775,12-12-2018,4,1,11-30-2018,
796,12-12-2018,4,2,12-04-2018,
809,12-12-2018,4,2,12-04-2018,
812,12-12-2018,4,2,12-04-2018,
882,12-12-2018,4,2,12-04-2018,
888,12-12-2018,4,2,12-04-2018,
894,12-12-2018,4,2,12-04-2018,
733,12-16-2018,5,2,12-04-2018,
739,12-16-2018,5,3,12-08-2018,
759,12-16-2018,5,3,12-08-2018,
766,12-16-2018,5,3,12-08-2018,
774,12-16-2018,5,3,12-08-2018,
775,12-16-2018,5,1,11-30-2018,
779,12-16-2018,5,3,12-08-2018,
966,12-16-2018,5,3,12-08-2018,
733,12-20-2018,6,0,12-12-2018,attempted, but no worms available
764,12-20-2018,6,4,12-12-2018,
766,12-20-2018,6,4,12-12-2018,
768,12-20-2018,6,3,12-12-2018,
844,12-20-2018,6,4,12-12-2018,
897,12-20-2018,6,4,12-12-2018,
953,12-20-2018,6,4,12-12-2018,
728,12-24-2018,7,5,12-16-2018,
731,12-24-2018,7,5,12-16-2018,
733,12-24-2018,7,0,11-30-2018,reset from ancestral control
737,12-24-2018,7,5,12-16-2018,
744,12-24-2018,7,0,11-30-2018,reset from ancestral control
746,12-24-2018,7,5,12-16-2018,
759,12-24-2018,7,4,12-16-2018,
766,12-24-2018,7,0,11-30-2018,reset from ancestral control
770,12-24-2018,7,5,12-16-2018,
775,12-24-2018,7,0,11-30-2018,reset from ancestral control
779,12-24-2018,7,4,12-16-2018,
780,12-24-2018,7,5,12-16-2018,
784,12-24-2018,7,5,12-16-2018,
787,12-24-2018,7,5,12-16-2018,
834,12-24-2018,7,5,12-16-2018,
839,12-24-2018,7,5,12-16-2018,
514,12-28-2018,8,5,12-20-2018,
672,12-28-2018,8,6,12-20-2018,
696,12-28-2018,8,6,12-20-2018,
713,12-28-2018,8,5,12-16-2018,
744,12-28-2018,8,0,11-30-2018,reset from ancestral control
746,12-28-2018,8,5,12-16-2018,
757,12-28-2018,8,5,12-20-2018,
771,12-28-2018,8,6,12-20-2018,
775,12-28-2018,8,0,11-30-2018,reset from ancestral control
784,12-28-2018,8,5,12-16-2018,
796,12-28-2018,8,5,12-20-2018,
831,12-28-2018,8,6,12-20-2018,
833,12-28-2018,8,6,12-20-2018,
507,01-01-2019,9,7,12-24-2018,
539,01-01-2019,9,7,12-24-2018,
576,01-01-2019,9,7,12-24-2018,
644,01-01-2019,9,7,12-24-2018,
672,01-01-2019,9,5,12-20-2018,backup date and gen don't match?
704,01-01-2019,9,6,12-24-2018,
711,01-01-2019,9,6,12-24-2018,
713,01-01-2019,9,5,12-16-2018,
717,01-01-2019,9,7,12-24-2018,
727,01-01-2019,9,8,12-24-2018,
758,01-01-2019,9,7,12-24-2018,
759,01-01-2019,9,5,12-16-2018,
768,01-01-2019,9,5,12-24-2018,
780,01-01-2019,9,5,12-16-2018,
782,01-01-2019,9,7,12-24-2018,
784,01-01-2019,9,0,11-30-2018,reset from ancestral control
802,01-01-2019,9,7,12-24-2018,
845,01-01-2019,9,7,12-24-2018,
850,01-01-2019,9,7,12-24-2018,
867,01-01-2019,9,7,12-24-2018,
544,01-05-2019,10,8,12-28-2018,
564,01-05-2019,10,8,12-28-2018,
568,01-05-2019,10,8,12-28-2018,
636,01-05-2019,10,8,12-28-2018,
667,01-05-2019,10,8,12-28-2018,
715,01-05-2019,10,8,12-28-2018,
727,01-05-2019,10,7,12-24-2018,
759,01-05-2019,10,5,12-24-2018,
768,01-05-2019,10,4,12-20-2018,
779,01-05-2019,10,6,12-28-2018,
781,01-05-2019,10,8,12-28-2018,
782,01-05-2019,10,7,12-24-2018,
841,01-05-2019,10,8,12-28-2018,
580,01-09-2019,11,9,12-28-2018,
702,01-09-2019,11,9,01-01-2019,
706,01-09-2019,11,9,01-01-2019,
713,01-09-2019,11,5,12-16-2018,
715,01-09-2019,11,8,12-28-2018,
734,01-09-2019,11,9,01-01-2019,
746,01-09-2019,11,7,01-01-2019,
758,01-09-2019,11,8,01-01-2019,
759,01-09-2019,11,5,12-24-2018,
779,01-09-2019,11,5,12-24-2018,
780,01-09-2019,11,6,01-01-2019,
784,01-09-2019,11,1,01-01-2019,
786,01-09-2019,11,9,01-01-2019,
835,01-09-2019,11,9,01-01-2019,
889,01-09-2019,11,8,12-24-2018,
908,01-09-2019,11,9,12-28-2018,
918,01-09-2019,11,9,12-28-2018,
932,01-09-2019,11,9,12-28-2018,
989,01-09-2019,11,9,12-28-2018,
543,01-13-2019,12,10,01-05-2019,
570,01-13-2019,12,10,01-05-2019,
589,01-13-2019,12,9,01-05-2019,
700,01-13-2019,12,9,01-05-2019,
703,01-13-2019,12,10,01-05-2019,
704,01-13-2019,12,8,01-05-2019,
706,01-13-2019,12,9,01-01-2019,
720,01-13-2019,12,9,01-05-2019,
727,01-13-2019,12,8,01-05-2019,
734,01-13-2019,12,9,01-01-2019,
736,01-13-2019,12,10,01-05-2019,
744,01-13-2019,12,3,01-05-2019,
748,01-13-2019,12,9,01-05-2019,
752,01-13-2019,12,10,01-05-2019,
