Sample ID,Generation
500,28
501,30
502,29
503,29
504,30
505,30
506,28
507,28
508,30
509,29
510,30
511,28
512,30
513,30
514,27
515,30
516,30
517,30
518,29
519,30
520,30
521,29
522,30
523,30
524,30
525,30
526,30
527,30
528,30
529,30
530,30
531,29
532,30
533,30
534,29
535,29
536,30
537,30
538,29
539,29
540,30
541,30
542,30
543,28
544,29
545,30
546,30
547,30
548,30
549,30
550,30
551,30
552,29
553,29
554,30
555,30
556,30
557,30
558,30
559,30
560,30
561,30
562,29
563,30
564,29
565,29
566,28
567,28
568,28
569,30
570,28
571,30
572,29
573,30
574,30
575,30
576,27
577,30
578,30
579,29
580,29
581,30
582,30
583,30
584,30
585,29
586,30
587,30
588,30
589,27
590,30
591,30
592,29
593,30
594,30
595,30
596,29
597,30
598,29
599,30
600,30
601,30
602,30
603,30
604,30
605,30
606,30
607,30
608,30
609,29
610,30
611,30
612,29
613,30
614,30
615,30
616,30
617,30
618,30
619,30
620,30
621,30
622,29
623,30
624,30
625,29
626,30
627,30
628,30
629,29
630,30
631,30
632,30
633,30
634,29
635,28
636,29
637,30
638,30
639,30
640,30
641,Extinct
642,30
643,30
644,29
645,30
646,30
647,29
648,30
649,30
650,28
651,30
652,26
653,30
654,30
655,30
656,30
657,30
658,30
659,30
660,30
661,29
662,30
663,30
664,30
665,30
666,30
667,28
668,30
669,28
670,30
671,30
672,27
673,30
674,30
675,29
676,30
677,30
678,30
679,30
680,30
681,30
682,30
683,30
684,30
685,30
686,30
687,30
688,30
689,29
690,29
691,30
692,30
693,30
694,30
695,30
696,29
697,30
698,30
699,30
700,23
701,21
702,23
703,24
704,8
705,15
706,17
707,30
708,10
709,30
710,25
711,20
712,Extinct
713,Extinct
714,25
715,24
716,30
717,15
718,24
719,29
720,21
721,22
722,Extinct
723,30
724,28
725,28
726,Extinct
727,23
728,25
729,20
730,18
731,20
732,Extinct
733,23
734,18
735,Extinct
736,Extinct
737,23
738,Extinct
739,28
740,29
741,Extinct
742,26
743,Extinct
744,9
745,24
746,10
747,27
748,8
749,26
750,30
751,29
752,26
753,29
754,18
755,30
756,Extinct
757,26
758,Extinct
759,18
760,29
761,30
762,29
763,28
764,Extinct
765,22
766,10
767,19
768,24
769,28
770,27
771,29
772,Extinct
773,23
774,Extinct
775,20
776,20
777,30
778,Extinct
779,12
780,10
781,Extinct
782,12
783,23
784,9
785,28
786,21
787,21
788,Extinct
789,3
790,30
791,23
792,26
793,7
794,23
795,23
796,Extinct
797,Extinct
798,Extinct
799,30
800,29
801,28
802,29
803,29
804,27
805,30
806,30
807,30
808,30
809,29
810,30
811,30
812,29
813,30
814,29
815,30
816,30
817,30
818,29
819,30
820,30
821,30
822,26
823,29
824,30
825,30
826,28
827,30
828,30
829,30
830,29
831,29
832,30
833,29
834,29
835,29
836,29
837,30
838,30
839,29
840,29
841,29
842,30
843,30
844,28
845,29
846,30
847,29
848,29
849,28
850,29
851,30
852,30
853,29
854,30
855,30
856,29
857,29
858,30
859,30
860,30
861,30
862,29
863,29
864,29
865,29
866,30
867,29
868,30
869,30
870,30
871,30
872,30
873,30
874,29
875,29
876,30
877,27
878,30
879,29
880,30
881,29
882,29
883,30
884,29
885,30
886,30
887,30
888,29
889,27
890,30
891,30
892,30
893,29
894,29
895,29
896,29
897,29
898,30
899,30
900,30
901,30
902,30
903,30
904,30
905,30
906,30
907,30
908,28
909,30
910,30
911,30
912,30
913,30
914,30
915,30
916,29
917,29
918,29
919,30
920,30
921,30
922,30
923,30
924,30
925,30
926,30
927,30
928,30
929,30
930,30
931,30
932,29
933,30
934,29
935,30
936,29
937,30
938,30
939,30
940,29
941,30
942,30
943,30
944,30
945,30
946,30
947,30
948,29
949,30
950,29
951,29
952,30
953,29
954,30
955,30
956,30
957,30
958,30
959,30
960,30
961,30
962,30
963,30
964,30
965,30
966,29
967,30
968,30
969,30
970,30
971,30
972,30
973,30
974,30
975,30
976,30
977,30
978,30
979,30
980,29
981,30
982,30
983,29
984,30
985,30
986,30
987,30
988,30
989,29
990,30
991,30
992,30
993,30
994,30
995,30
996,30
997,30
998,30
999,30
