Sample ID,Generation
500,58
501,60
502,59
503,59
504,60
505,60
506,58
507,58
508,60
509,58
510,60
511,58
512,60
513,59
514,57
515,60
516,60
517,60
518,59
519,60
520,60
521,59
522,60
523,58
524,60
525,54
526,60
527,60
528,60
529,58
530,60
531,59
532,59
533,59
534,59
535,59
536,59
537,60
538,59
539,59
540,60
541,60
542,60
543,58
544,59
545,60
546,59
547,60
548,60
549,60
550,60
551,60
552,58
553,59
554,60
555,60
556,60
557,58
558,60
559,60
560,60
561,59
562,59
563,59
564,59
565,59
566,58
567,58
568,58
569,60
570,57
571,60
572,59
573,60
574,60
575,58
576,57
577,60
578,59
579,59
580,58
581,60
582,60
583,59
584,60
585,59
586,59
587,60
588,60
589,57
590,59
591,60
592,59
593,60
594,60
595,60
596,59
597,60
598,59
599,59
600,60
601,60
602,59
603,60
604,60
605,60
606,60
607,60
608,59
609,59
610,60
611,58
612,59
613,60
614,60
615,59
616,60
617,60
618,60
619,58
620,60
621,60
622,58
623,60
624,60
625,59
626,60
627,60
628,60
629,59
630,60
631,60
632,60
633,60
634,59
635,58
636,59
637,59
638,59
639,60
640,60
641,Extinct
642,60
643,60
644,57
645,60
646,59
647,58
648,60
649,60
650,58
651,60
652,56
653,60
654,60
655,60
656,60
657,59
658,60
659,60
660,60
661,59
662,60
663,58
664,56
665,60
666,58
667,56
668,60
669,57
670,59
671,59
672,57
673,60
674,60
675,58
676,60
677,60
678,60
679,60
680,60
681,60
682,60
683,60
684,59
685,60
686,60
687,60
688,60
689,59
690,59
691,60
692,59
693,60
694,60
695,58
696,59
697,59
698,59
699,60
700,52
701,Extinct
702,49
703,Extinct
704,28
705,Extinct
706,Extinct
707,60
708,35
709,57
710,Extinct
711,Extinct
712,Extinct
713,Extinct
714,Extinct
715,52
716,58
717,Extinct
718,31
719,55
720,Extinct
721,Extinct
722,Extinct
723,51
724,42
725,47
726,Extinct
727,Extinct
728,37
729,Extinct
730,Extinct
731,Extinct
732,Extinct
733,53
734,Extinct
735,Extinct
736,Extinct
737,32
738,Extinct
739,58
740,Extinct
741,Extinct
742,Extinct
743,Extinct
744,19
745,Extinct
746,17
747,Extinct
748,Extinct
749,Extinct
750,48
751,57
752,42
753,Extinct
754,Extinct
755,52
756,Extinct
757,Extinct
758,Extinct
759,Extinct
760,Extinct
761,Extinct
762,56
763,Extinct
764,Extinct
765,Extinct
766,Extinct
767,Extinct
768,Extinct
769,40
770,52
771,Extinct
772,Extinct
773,Extinct
774,Extinct
775,34
776,Extinct
777,60
778,Extinct
779,Extinct
780,39
781,Extinct
782,Extinct
783,28
784,36
785,29
786,51
787,Extinct
788,Extinct
789,Extinct
790,Extinct
791,26
792,Extinct
793,Extinct
794,Extinct
795,Extinct
796,Extinct
797,Extinct
798,Extinct
799,Extinct
800,59
801,57
802,59
803,59
804,54
805,59
806,60
807,60
808,60
809,59
810,60
811,60
812,59
813,59
814,59
815,60
816,60
817,60
818,58
819,59
820,60
821,60
822,54
823,57
824,59
825,59
826,58
827,60
828,59
829,60
830,59
831,57
832,59
833,58
834,59
835,58
836,59
837,60
838,60
839,59
840,59
841,59
842,60
843,59
844,58
845,59
846,60
847,58
848,59
849,55
850,59
851,60
852,60
853,58
854,58
855,60
856,59
857,58
858,59
859,60
860,60
861,60
862,59
863,59
864,59
865,59
866,55
867,59
868,60
869,60
870,59
871,60
872,60
873,60
874,58
875,59
876,60
877,57
878,60
879,59
880,60
881,59
882,59
883,60
884,59
885,60
886,60
887,60
888,59
889,57
890,60
891,60
892,60
893,58
894,57
895,59
896,59
897,59
898,54
899,60
900,60
901,60
902,60
903,59
904,60
905,59
906,60
907,60
908,57
909,60
910,60
911,60
912,60
913,60
914,59
915,60
916,58
917,59
918,59
919,60
920,60
921,60
922,60
923,60
924,60
925,60
926,60
927,60
928,59
929,60
930,60
931,60
932,59
933,60
934,59
935,60
936,59
937,60
938,60
939,60
940,59
941,60
942,59
943,60
944,59
945,60
946,60
947,60
948,59
949,60
950,59
951,59
952,59
953,59
954,60
955,60
956,59
957,60
958,60
959,60
960,60
961,60
962,60
963,60
964,60
965,60
966,59
967,60
968,59
969,60
970,60
971,60
972,60
973,60
974,59
975,60
976,60
977,60
978,60
979,60
980,59
981,60
982,60
983,59
984,60
985,60
986,60
987,60
988,60
989,59
990,60
991,60
992,60
993,60
994,60
995,60
996,59
997,60
998,60
999,60
