Sample ID,Generation,Backup Count,Reset Count
500,15,2,0
501,17,0,0
502,17,1,0
503,16,1,0
504,17,0,0
505,17,0,0
506,16,2,0
507,16,2,0
508,17,0,0
509,17,2,0
510,17,0,0
511,17,1,0
512,17,0,0
513,17,1,0
514,15,3,0
515,17,0,0
516,17,0,0
517,17,0,0
518,16,1,0
519,17,0,0
520,17,0,0
521,16,1,0
522,17,0,0
523,17,2,0
524,17,0,0
525,17,1,0
526,17,0,0
527,17,0,0
528,17,0,0
529,17,2,0
530,17,0,0
531,16,1,0
532,17,1,0
533,17,1,0
534,16,1,0
535,17,1,0
536,17,1,0
537,17,0,0
538,16,1,0
539,16,1,0
540,17,0,0
541,17,0,0
542,17,0,0
543,16,2,0
544,16,1,0
545,17,0,0
546,17,1,0
547,17,0,0
548,17,0,0
549,17,0,0
550,17,0,0
551,17,0,0
552,17,2,0
553,16,1,0
554,17,0,0
555,17,0,0
556,17,0,0
557,17,1,0
558,17,0,0
559,17,0,0
560,17,0,0
561,17,1,0
562,16,2,0
563,17,1,0
564,16,1,0
565,16,1,0
566,17,1,0
567,15,1,0
568,16,2,0
569,17,0,0
570,16,3,0
571,17,0,0
572,17,1,0
573,17,0,0
574,17,0,0
575,17,2,0
576,16,3,0
577,17,0,0
578,17,1,0
579,17,1,0
580,16,2,0
581,17,0,0
582,17,0,0
583,17,1,0
584,17,0,0
585,17,1,0
586,17,1,0
587,17,0,0
588,17,0,0
589,14,2,0
590,17,1,0
591,17,0,0
592,16,1,0
593,17,0,0
594,17,0,0
595,17,0,0
596,17,1,0
597,17,0,0
598,16,1,0
599,17,1,0
600,17,0,0
601,17,0,0
602,17,1,0
603,17,0,0
604,17,0,0
605,17,0,0
606,17,0,0
607,17,0,0
608,17,1,0
609,17,1,0
610,17,0,0
611,17,1,0
612,17,1,0
613,17,0,0
614,17,0,0
615,17,1,0
616,17,0,0
617,17,0,0
618,17,0,0
619,17,1,0
620,17,0,0
621,17,0,0
622,16,2,0
623,17,0,0
624,17,0,0
625,17,1,0
626,17,0,0
627,17,0,0
628,17,0,0
629,17,1,0
630,17,0,0
631,17,0,0
632,17,0,0
633,17,0,0
634,17,1,0
635,15,1,0
636,16,1,0
637,17,1,0
638,17,1,0
639,17,0,0
640,17,0,0
641,17,3,0
642,17,0,0
643,17,0,0
644,16,3,0
645,17,0,0
646,17,1,0
647,17,2,0
648,17,0,0
649,17,0,0
650,17,1,0
651,17,0,0
652,16,3,0
653,17,0,0
654,17,0,0
655,17,0,0
656,17,0,0
657,17,1,0
658,17,0,0
659,17,0,0
660,17,0,0
661,17,1,0
662,17,0,0
663,17,2,0
664,17,3,0
665,17,0,0
666,17,1,0
667,16,4,0
668,17,0,0
669,17,3,0
670,17,1,0
671,17,1,0
672,14,2,0
673,17,0,0
674,17,0,0
675,17,2,0
676,17,0,0
677,17,0,0
678,17,0,0
679,17,0,0
680,17,0,0
681,17,0,0
682,17,0,0
683,17,0,0
684,17,1,0
685,17,0,0
686,17,0,0
687,17,0,0
688,17,0,0
689,17,1,0
690,17,1,0
691,17,0,0
692,17,1,0
693,17,0,0
694,17,0,0
695,17,2,0
696,16,1,0
697,17,1,0
698,17,1,0
699,17,0,0
700,15,6,0
701,16,15,0
702,12,11,0
703,16,19,0
704,4,13,2
705,17,23,0
706,4,15,1
707,17,0,0
708,13,19,1
709,17,3,0
710,17,7,0
711,15,10,0
712,16,5,0
713,10,14,0
714,17,6,0
715,11,7,0
716,17,2,0
717,13,14,0
718,17,20,0
719,17,5,0
720,15,16,0
721,17,8,0
722,15,9,0
723,17,8,0
724,17,15,0
725,17,7,0
726,13,12,0
727,12,12,0
728,16,15,0
729,17,20,0
730,13,17,0
731,15,19,0
732,17,3,0
733,11,3,2
734,14,13,0
735,17,6,0
736,4,11,1
737,16,19,0
738,16,9,0
739,16,2,0
740,16,12,0
741,14,10,0
742,17,9,0
743,16,10,0
744,7,24,3
745,17,21,0
746,11,31,0
747,16,6,0
748,3,11,1
749,17,7,0
750,17,13,0
751,16,2,0
752,13,13,0
753,16,11,0
754,15,11,0
755,17,8,0
756,17,5,0
757,15,12,0
758,12,11,0
759,6,18,1
760,17,14,0
761,17,7,0
762,17,4,0
763,16,5,0
764,16,7,0
765,17,8,0
766,10,14,1
767,16,11,0
768,12,12,0
769,17,20,0
770,15,6,0
771,16,13,0
772,15,13,0
773,17,9,0
774,15,8,0
775,10,18,2
776,16,11,0
777,17,0,0
778,17,11,0
779,6,22,1
780,9,9,2
781,14,12,0
782,12,16,0
783,16,21,0
784,5,11,2
785,17,5,0
786,9,8,0
787,16,10,0
