Sample ID,Generation
500,50
501,52
502,51
503,51
504,52
505,52
506,50
507,50
508,52
509,51
510,52
511,50
512,52
513,52
514,49
515,52
516,52
517,52
518,51
519,52
520,52
521,51
522,52
523,52
524,52
525,46
526,52
527,52
528,52
529,50
530,52
531,51
532,52
533,52
534,51
535,51
536,51
537,52
538,51
539,51
540,52
541,52
542,52
543,50
544,51
545,52
546,51
547,52
548,52
549,52
550,52
551,52
552,50
553,51
554,52
555,52
556,52
557,50
558,52
559,52
560,52
561,51
562,51
563,52
564,51
565,51
566,50
567,50
568,50
569,52
570,50
571,52
572,51
573,52
574,52
575,52
576,49
577,52
578,51
579,51
580,51
581,52
582,52
583,51
584,52
585,51
586,51
587,52
588,52
589,49
590,52
591,52
592,51
593,52
594,52
595,52
596,51
597,52
598,51
599,52
600,52
601,52
602,52
603,52
604,52
605,52
606,52
607,52
608,52
609,51
610,52
611,52
612,51
613,52
614,52
615,52
616,52
617,52
618,52
619,52
620,52
621,52
622,51
623,52
624,52
625,51
626,52
627,52
628,52
629,51
630,52
631,52
632,52
633,52
634,51
635,50
636,51
637,51
638,52
639,52
640,52
641,Extinct
642,52
643,52
644,50
645,52
646,51
647,51
648,52
649,52
650,50
651,52
652,48
653,52
654,52
655,52
656,52
657,51
658,52
659,52
660,52
661,51
662,52
663,51
664,48
665,52
666,52
667,48
668,52
669,49
670,51
671,51
672,49
673,52
674,52
675,50
676,52
677,52
678,52
679,52
680,52
681,52
682,52
683,52
684,51
685,52
686,52
687,52
688,52
689,51
690,51
691,52
692,51
693,52
694,52
695,50
696,51
697,52
698,52
699,52
700,44
701,Extinct
702,43
703,35
704,21
705,16
706,23
707,52
708,21
709,49
710,Extinct
711,Extinct
712,Extinct
713,Extinct
714,Extinct
715,45
716,50
717,Extinct
718,24
719,48
720,Extinct
721,Extinct
722,Extinct
723,48
724,35
725,39
726,Extinct
727,Extinct
728,29
729,Extinct
730,Extinct
731,Extinct
732,Extinct
733,45
734,Extinct
735,Extinct
736,Extinct
737,25
738,Extinct
739,50
740,Extinct
741,Extinct
742,Extinct
743,Extinct
744,13
745,27
746,14
747,Extinct
748,Extinct
749,Extinct
750,41
751,51
752,35
753,43
754,Extinct
755,49
756,Extinct
757,Extinct
758,Extinct
759,22
760,Extinct
761,Extinct
762,48
763,Extinct
764,Extinct
765,Extinct
766,Extinct
767,Extinct
768,Extinct
769,36
770,44
771,Extinct
772,Extinct
773,Extinct
774,Extinct
775,27
776,Extinct
777,52
778,Extinct
779,Extinct
780,31
781,Extinct
782,Extinct
783,25
784,28
785,49
786,43
787,Extinct
788,Extinct
789,Extinct
790,Extinct
791,24
792,Extinct
793,Extinct
794,Extinct
795,Extinct
796,Extinct
797,Extinct
798,Extinct
799,Extinct
800,51
801,50
802,51
803,51
804,49
805,51
806,52
807,52
808,52
809,51
810,52
811,52
812,51
813,52
814,51
815,52
816,52
817,52
818,51
819,52
820,52
821,52
822,46
823,51
824,51
825,51
826,50
827,52
828,52
829,52
830,51
831,51
832,51
833,51
834,51
835,50
836,51
837,52
838,52
839,51
840,51
841,51
842,52
843,52
844,50
845,51
846,52
847,50
848,51
849,47
850,51
851,52
852,52
853,50
854,52
855,52
856,51
857,50
858,51
859,52
860,52
861,52
862,51
863,51
864,51
865,51
866,47
867,51
868,52
869,52
870,51
871,52
872,52
873,52
874,50
875,51
876,52
877,49
878,52
879,51
880,52
881,51
882,51
883,52
884,51
885,52
886,52
887,52
888,51
889,49
890,52
891,52
892,52
893,51
894,49
895,51
896,51
897,51
898,51
899,52
900,52
901,52
902,52
903,52
904,52
905,51
906,52
907,52
908,49
909,52
910,52
911,52
912,52
913,52
914,51
915,52
916,50
917,51
918,51
919,52
920,52
921,52
922,52
923,52
924,52
925,52
926,52
927,52
928,52
929,52
930,52
931,52
932,51
933,52
934,51
935,52
936,51
937,52
938,52
939,52
940,51
941,52
942,51
943,52
944,51
945,52
946,52
947,52
948,51
949,52
950,51
951,51
952,51
953,51
954,52
955,52
956,51
957,52
958,52
959,52
960,52
961,52
962,52
963,52
964,52
965,52
966,51
967,52
968,51
969,52
970,52
971,52
972,52
973,52
974,51
975,52
976,52
977,52
978,52
979,52
980,51
981,52
982,52
983,51
984,52
985,52
986,52
987,52
988,52
989,51
990,52
991,52
992,52
993,52
994,52
995,52
996,51
997,52
998,52
999,52
