Sample ID,Generation,Backup Count,Reset Count
500,58,2,0
501,60,0,0
502,59,1,0
503,59,1,0
504,60,0,0
505,60,0,0
506,58,2,0
507,58,2,0
508,60,0,0
509,58,2,0
510,60,0,0
511,58,1,0
512,60,0,0
513,59,1,0
514,57,3,0
515,60,0,0
516,60,0,0
517,60,0,0
518,59,1,0
519,60,0,0
520,60,0,0
521,59,1,0
522,60,0,0
523,58,2,0
524,60,0,0
525,54,1,0
526,60,0,0
527,60,0,0
528,60,0,0
529,58,2,0
530,60,0,0
531,59,1,0
532,59,1,0
533,59,1,0
534,59,1,0
535,59,1,0
536,59,1,0
537,60,0,0
538,59,1,0
539,59,1,0
540,60,0,0
541,60,0,0
542,60,0,0
543,58,2,0
544,59,1,0
545,60,0,0
546,59,1,0
547,60,0,0
548,60,0,0
549,60,0,0
550,60,0,0
551,60,0,0
552,58,2,0
553,59,1,0
554,60,0,0
555,60,0,0
556,60,0,0
557,58,1,0
558,60,0,0
559,60,0,0
560,60,0,0
561,59,1,0
562,59,2,0
563,59,1,0
564,59,1,0
565,59,1,0
566,58,1,0
567,58,1,0
568,58,2,0
569,60,0,0
570,57,3,0
571,60,0,0
572,59,1,0
573,60,0,0
574,60,0,0
575,58,2,0
576,57,3,0
577,60,0,0
578,59,1,0
579,59,1,0
580,58,2,0
581,60,0,0
582,60,0,0
583,59,1,0
584,60,0,0
585,59,1,0
586,59,1,0
587,60,0,0
588,60,0,0
589,57,2,0
590,59,1,0
591,60,0,0
592,59,1,0
593,60,0,0
594,60,0,0
595,60,0,0
596,59,1,0
597,60,0,0
598,59,1,0
599,59,1,0
600,60,0,0
601,60,0,0
602,59,1,0
603,60,0,0
604,60,0,0
605,60,0,0
606,60,0,0
607,60,0,0
608,59,1,0
609,59,1,0
610,60,0,0
611,58,1,0
612,59,1,0
613,60,0,0
614,60,0,0
615,59,1,0
616,60,0,0
617,60,0,0
618,60,0,0
619,58,1,0
620,60,0,0
621,60,0,0
622,58,2,0
623,60,0,0
624,60,0,0
625,59,1,0
626,60,0,0
627,60,0,0
628,60,0,0
629,59,1,0
630,60,0,0
631,60,0,0
632,60,0,0
633,60,0,0
634,59,1,0
635,58,1,0
636,59,1,0
637,59,1,0
638,59,1,0
639,60,0,0
640,60,0,0
641,Extinct,3,0
642,60,0,0
643,60,0,0
644,57,3,0
645,60,0,0
646,59,1,0
647,58,2,0
648,60,0,0
649,60,0,0
650,58,1,0
651,60,0,0
652,56,3,0
653,60,0,0
654,60,0,0
655,60,0,0
656,60,0,0
657,59,1,0
658,60,0,0
659,60,0,0
660,60,0,0
661,59,1,0
662,60,0,0
663,58,2,0
664,56,3,0
665,60,0,0
666,58,1,0
667,56,4,0
668,60,0,0
669,57,3,0
670,59,1,0
671,59,1,0
672,57,2,0
673,60,0,0
674,60,0,0
675,58,2,0
676,60,0,0
677,60,0,0
678,60,0,0
679,60,0,0
680,60,0,0
681,60,0,0
682,60,0,0
683,60,0,0
684,59,1,0
685,60,0,0
686,60,0,0
687,60,0,0
688,60,0,0
689,59,1,0
690,59,1,0
691,60,0,0
692,59,1,0
693,60,0,0
694,60,0,0
695,58,2,0
696,59,1,0
697,59,1,0
698,59,1,0
699,60,0,0
700,52,6,0
701,Extinct,15,0
702,49,11,0
703,Extinct,19,0
704,28,13,2
705,Extinct,23,0
706,Extinct,15,1
707,60,0,0
708,35,19,1
709,57,3,0
710,Extinct,7,0
711,Extinct,10,0
712,Extinct,5,0
713,Extinct,14,0
714,Extinct,6,0
715,52,7,0
716,58,2,0
717,Extinct,14,0
718,31,20,0
719,55,5,0
720,Extinct,16,0
721,Extinct,8,0
722,Extinct,9,0
723,51,8,0
724,42,15,0
725,47,7,0
726,Extinct,12,0
727,Extinct,12,0
728,37,15,0
729,Extinct,20,0
730,Extinct,17,0
731,Extinct,19,0
732,Extinct,3,0
733,53,3,2
734,Extinct,13,0
735,Extinct,6,0
736,Extinct,11,1
737,32,19,0
738,Extinct,9,0
739,58,2,0
740,Extinct,12,0
741,Extinct,10,0
742,Extinct,9,0
743,Extinct,10,0
744,19,24,3
745,Extinct,21,0
746,17,31,0
747,Extinct,6,0
748,Extinct,11,1
749,Extinct,7,0
750,48,13,0
751,57,2,0
752,42,13,0
753,Extinct,11,0
754,Extinct,11,0
755,52,8,0
756,Extinct,5,0
757,Extinct,12,0
758,Extinct,11,0
759,Extinct,18,1
760,Extinct,14,0
761,Extinct,7,0
762,56,4,0
763,Extinct,5,0
764,Extinct,7,0
765,Extinct,8,0
766,Extinct,14,1
767,Extinct,11,0
768,Extinct,12,0
769,40,20,0
770,52,6,0
771,Extinct,13,0
772,Extinct,13,0
773,Extinct,9,0
774,Extinct,8,0
775,34,18,2
776,Extinct,11,0
777,60,0,0
778,Extinct,11,0
779,Extinct,22,1
780,39,9,2
781,Extinct,12,0
782,Extinct,16,0
783,28,21,0
784,36,11,2
785,29,5,0
786,51,8,0
787,Extinct,10,0
788,Extinct,6,0
789,Extinct,11,1
790,Extinct,6,0
791,26,23,0
792,Extinct,13,0
793,Extinct,9,1
794,Extinct,12,0
795,Extinct,9,0
796,Extinct,11,2
797,Extinct,8,0
798,Extinct,7,0
799,Extinct,7,0
800,59,1,0
801,57,3,0
802,59,1,0
803,59,2,0
804,54,3,0
805,59,1,0
806,60,0,0
807,60,0,0
808,60,0,0
809,59,1,0
810,60,0,0
811,60,0,0
812,59,1,0
813,59,1,0
814,59,1,0
815,60,0,0
816,60,0,0
817,60,0,0
818,58,2,0
819,59,1,0
820,60,0,0
821,60,0,0
822,54,4,0
823,57,3,0
824,59,1,0
825,59,1,0
826,58,1,0
827,60,0,0
828,59,1,0
829,60,0,0
830,59,1,0
831,57,2,0
832,59,1,0
833,58,2,0
834,59,1,0
835,58,2,0
836,59,1,0
837,60,0,0
838,60,0,0
839,59,1,0
840,59,1,0
841,59,1,0
842,60,0,0
843,59,1,0
844,58,2,0
845,59,2,0
846,60,0,0
847,58,2,0
848,59,1,0
849,55,5,0
850,59,1,0
851,60,0,0
852,60,0,0
853,58,2,0
854,58,1,0
855,60,0,0
856,59,1,0
857,58,2,0
858,59,1,0
859,60,0,0
860,60,0,0
861,60,0,0
862,59,1,0
863,59,1,0
864,59,1,0
865,59,1,0
866,55,4,0
867,59,1,0
868,60,0,0
869,60,0,0
870,59,1,0
871,60,0,0
872,60,0,0
873,60,0,0
874,58,2,0
875,59,1,0
876,60,0,0
877,57,1,0
878,60,0,0
879,59,1,0
880,60,0,0
881,59,1,0
882,59,1,0
883,60,0,0
884,59,1,0
885,60,0,0
886,60,0,0
887,60,0,0
888,59,1,0
889,57,2,0
890,60,0,0
891,60,0,0
892,60,0,0
893,58,2,0
894,57,3,0
895,59,1,0
896,59,3,0
897,59,2,0
898,54,2,0
899,60,0,0
900,60,0,0
901,60,0,0
902,60,0,0
903,59,1,0
904,60,0,0
905,59,1,0
906,60,0,0
907,60,0,0
908,57,3,0
909,60,0,0
910,60,0,0
911,60,1,0
912,60,0,0
913,60,0,0
914,59,1,0
915,60,0,0
916,58,2,0
917,59,1,0
918,59,1,0
919,60,0,0
920,60,0,0
921,60,0,0
922,60,0,0
923,60,0,0
924,60,0,0
925,60,0,0
926,60,0,0
927,60,0,0
928,59,1,0
929,60,0,0
930,60,0,0
931,60,0,0
932,59,1,0
933,60,0,0
934,59,1,0
935,60,0,0
936,59,1,0
937,60,0,0
938,60,0,0
939,60,0,0
940,59,1,0
941,60,0,0
942,59,1,0
943,60,0,0
944,59,1,0
945,60,0,0
946,60,0,0
947,60,0,0
948,59,1,0
949,60,0,0
950,59,1,0
951,59,1,0
952,59,1,0
953,59,1,0
954,60,0,0
955,60,0,0
956,59,3,0
957,60,0,0
958,60,0,0
959,60,0,0
960,60,0,0
961,60,0,0
962,60,0,0
963,60,0,0
964,60,0,0
965,60,0,0
966,59,1,0
967,60,0,0
968,59,2,0
969,60,0,0
970,60,0,0
971,60,0,0
972,60,0,0
973,60,0,0
974,59,1,0
975,60,0,0
976,60,0,0
977,60,0,0
978,60,0,0
979,60,0,0
980,59,1,0
981,60,0,0
982,60,0,0
983,59,1,0
984,60,0,0
985,60,0,0
986,60,0,0
987,60,0,0
988,60,0,0
989,59,1,0
990,60,0,0
991,60,0,0
992,60,0,0
993,60,0,0
994,60,0,0
995,60,0,0
996,59,1,0
997,60,0,0
998,60,0,0
999,60,0,0
