Sample.ID,Generation
500,32
501,34
502,33
503,33
504,34
505,34
506,32
507,32
508,34
509,33
510,34
511,32
512,34
513,34
514,31
515,34
516,34
517,34
518,33
519,34
520,34
521,33
522,34
523,34
524,34
525,34
526,34
527,34
528,34
529,34
530,34
531,33
532,34
533,34
534,33
535,33
536,34
537,34
538,33
539,33
540,34
541,34
542,34
543,32
544,33
545,34
546,34
547,34
548,34
549,34
550,34
551,34
552,33
553,33
554,34
555,34
556,34
557,34
558,34
559,34
560,34
561,34
562,33
563,34
564,33
565,33
566,32
567,32
568,32
569,34
570,32
571,34
572,33
573,34
574,34
575,34
576,31
577,34
578,33
579,33
580,33
581,34
582,34
583,34
584,34
585,33
586,34
587,34
588,34
589,31
590,34
591,34
592,33
593,34
594,34
595,34
596,33
597,34
598,33
599,34
600,34
601,34
602,34
603,34
604,34
605,34
606,34
607,34
608,34
609,33
610,34
611,34
612,33
613,34
614,34
615,34
616,34
617,34
618,34
619,34
620,34
621,34
622,33
623,34
624,34
625,33
626,34
627,34
628,34
629,33
630,34
631,34
632,34
633,34
634,33
635,32
636,33
637,34
638,34
639,34
640,34
641,Extinct
642,34
643,34
644,32
645,34
646,34
647,33
648,34
649,34
650,32
651,34
652,30
653,34
654,34
655,34
656,34
657,34
658,34
659,34
660,34
661,33
662,34
663,34
664,32
665,34
666,34
667,32
668,34
669,32
670,34
671,34
672,31
673,34
674,34
675,33
676,34
677,34
678,34
679,34
680,34
681,34
682,34
683,34
684,34
685,34
686,34
687,34
688,34
689,33
690,33
691,34
692,34
693,34
694,34
695,34
696,33
697,34
698,34
699,34
700,27
701,21
702,27
703,25
704,12
705,16
706,20
707,34
708,13
709,34
710,Extinct
711,Extinct
712,Extinct
713,Extinct
714,Extinct
715,28
716,32
717,Extinct
718,23
719,33
720,22
721,Extinct
722,Extinct
723,34
724,32
725,22
726,Extinct
727,22
728,27
729,20
730,19
731,23
732,Extinct
733,27
734,Extinct
735,Extinct
736,Extinct
737,23
738,Extinct
739,32
740,33
741,Extinct
742,24
743,Extinct
744,9
745,26
746,9
747,Extinct
748,Extinct
749,Extinct
750,34
751,33
752,28
753,33
754,Extinct
755,33
756,Extinct
757,28
758,Extinct
759,22
760,30
761,34
762,32
763,Extinct
764,Extinct
765,Extinct
766,Extinct
767,Extinct
768,28
769,30
770,31
771,30
772,Extinct
773,Extinct
774,Extinct
775,22
776,Extinct
777,34
778,Extinct
779,12
780,13
781,Extinct
782,15
783,24
784,13
785,32
786,25
787,Extinct
788,Extinct
789,Extinct
790,34
791,20
792,28
793,Extinct
794,22
795,Extinct
796,Extinct
797,Extinct
798,Extinct
799,31
800,33
801,32
802,33
803,33
804,31
805,34
806,34
807,34
808,34
809,33
810,34
811,34
812,33
813,34
814,33
815,34
816,34
817,34
818,33
819,34
820,34
821,34
822,28
823,33
824,34
825,34
826,32
827,34
828,34
829,34
830,33
831,33
832,33
833,33
834,33
835,33
836,33
837,34
838,34
839,33
840,33
841,33
842,34
843,34
844,32
845,33
846,34
847,33
848,33
849,29
850,33
851,34
852,34
853,33
854,34
855,34
856,33
857,33
858,33
859,34
860,34
861,34
862,33
863,33
864,33
865,33
866,31
867,33
868,34
869,34
870,33
871,34
872,34
873,34
874,32
875,33
876,34
877,31
878,34
879,33
880,34
881,33
882,33
883,34
884,33
885,34
886,34
887,34
888,33
889,31
890,34
891,34
892,34
893,33
894,33
895,33
896,32
897,33
898,34
899,34
900,34
901,34
902,34
903,34
904,34
905,33
906,34
907,34
908,32
909,34
910,34
911,34
912,34
913,34
914,34
915,34
916,32
917,33
918,33
919,34
920,34
921,34
922,34
923,34
924,34
925,34
926,34
927,34
928,34
929,34
930,34
931,34
932,33
933,34
934,33
935,34
936,33
937,34
938,34
939,34
940,33
941,34
942,34
943,34
944,34
945,34
946,34
947,34
948,33
949,34
950,33
951,33
952,34
953,33
954,34
955,34
956,34
957,34
958,34
959,34
960,34
961,34
962,34
963,34
964,34
965,34
966,33
967,34
968,33
969,34
970,34
971,34
972,34
973,34
974,33
975,34
976,34
977,34
978,34
979,34
980,33
981,34
982,34
983,33
984,34
985,34
986,34
987,34
988,34
989,33
990,34
991,34
992,34
993,34
994,34
995,34
996,34
997,34
998,34
999,34
